X (Angstroms)	Y (Angstroms)	rho/rho_ideal_gas
-18.613861	15.049505	0.000000	-1.000000
-18.613861	15.445545	0.000000	-1.000000
-18.613861	15.841584	0.000000	-1.000000
-18.613861	16.237624	0.000000	-1.000000
-18.613861	16.633663	0.000000	-1.000000
-18.613861	17.029703	0.000000	-1.000000
-18.613861	17.425743	0.000000	-1.000000
-18.613861	17.821782	0.000000	-1.000000
-18.613861	18.217822	0.000000	-1.000000
-18.613861	18.613861	0.000000	-1.000000
-18.613861	19.009901	0.000000	-1.000000
-18.613861	19.405941	0.000000	-1.000000
-18.613861	19.801980	0.000000	-1.000000
-18.217822	-19.801980	0.000000	-1.000000
-18.217822	-19.405941	0.000000	-1.000000
-18.217822	-19.009901	0.000000	-1.000000
-18.217822	-18.613861	0.000000	-1.000000
-18.217822	-18.217822	0.000000	-1.000000
-18.217822	-17.821782	0.000000	-1.000000
-18.217822	-17.425743	0.000000	-1.000000
-18.217822	-17.029703	0.000000	-1.000000
-18.217822	-16.633663	0.000000	-1.000000
-18.217822	-16.237624	0.000000	-1.000000
-18.217822	-15.841584	0.000000	-1.000000
-18.217822	-15.445545	0.000000	-1.000000
-18.217822	-15.049505	0.000000	-1.000000
-18.217822	-14.653465	0.000000	-1.000000
-18.217822	-14.257426	0.000000	-1.000000
-18.217822	-13.861386	0.000000	-1.000000
-18.217822	-13.465347	0.000000	-1.000000
-18.217822	-13.069307	0.000000	-1.000000
-18.217822	-12.673267	0.000000	-1.000000
-18.217822	-12.277228	0.000000	-1.000000
-18.217822	-11.881188	0.000000	-1.000000
-18.217822	-11.485149	0.000000	-1.000000
-18.217822	-11.089109	0.000000	-1.000000
-18.217822	-10.693069	0.000000	-1.000000
-18.217822	-10.297030	0.000000	-1.000000
-18.217822	-9.900990	0.000000	-1.000000
-18.217822	-9.504950	0.000000	-1.000000
-18.217822	-9.108911	0.197613	-0.802387
-18.217822	-8.712871	0.624042	-0.375958
-18.217822	-8.316832	0.988066	-0.011934
-18.217822	-7.920792	1.060871	0.060871
-18.217822	-7.524752	1.144076	0.144076
-18.217822	-7.128713	0.925662	-0.074338
-18.217822	-6.732673	0.998467	-0.001533
-18.217822	-6.336634	0.769651	-0.230349
-18.217822	-5.940594	1.008867	0.008867
-18.217822	-5.544554	0.904860	-0.095140
-18.217822	-5.148515	1.050470	0.050470
-18.217822	-4.752475	1.029669	0.029669
-18.217822	-4.356436	1.040069	0.040069
-18.217822	-3.960396	1.019268	0.019268
-18.217822	-3.564356	1.040069	0.040069
-18.217822	-3.168317	0.759251	-0.240749
-18.217822	-2.772277	0.967264	-0.032736
-18.217822	-2.376238	0.946463	-0.053537
-18.217822	-1.980198	0.717648	-0.282352
-18.217822	-1.584158	0.904860	-0.095140
-18.217822	-1.188119	0.998467	-0.001533
-18.217822	-0.792079	0.967264	-0.032736
-18.217822	-0.396040	0.998467	-0.001533
-18.217822	0.000000	0.946463	-0.053537
-18.217822	0.396040	0.936062	-0.063938
-18.217822	0.792079	0.759251	-0.240749
-18.217822	1.188119	1.081672	0.081672
-18.217822	1.584158	1.092073	0.092073
-18.217822	1.980198	0.873658	-0.126342
-18.217822	2.376238	0.925662	-0.074338
-18.217822	2.772277	0.967264	-0.032736
-18.217822	3.168317	1.144076	0.144076
-18.217822	3.564356	0.956864	-0.043136
-18.217822	3.960396	0.956864	-0.043136
-18.217822	4.356436	0.967264	-0.032736
-18.217822	4.752475	0.956864	-0.043136
-18.217822	5.148515	0.936062	-0.063938
-18.217822	5.544554	0.832055	-0.167945
-18.217822	5.940594	1.102473	0.102473
-18.217822	6.336634	1.123275	0.123275
-18.217822	6.732673	1.112874	0.112874
-18.217822	7.128713	1.019268	0.019268
-18.217822	7.524752	1.123275	0.123275
-18.217822	7.920792	1.112874	0.112874
-18.217822	8.316832	0.821655	-0.178345
-18.217822	8.712871	0.114408	-0.885592
-18.217822	9.108911	0.000000	-1.000000
-18.217822	9.504950	0.000000	-1.000000
-18.217822	9.900990	0.000000	-1.000000
-18.217822	10.297030	0.000000	-1.000000
-18.217822	10.693069	0.000000	-1.000000
-18.217822	11.089109	0.000000	-1.000000
-18.217822	11.485149	0.000000	-1.000000
-18.217822	11.881188	0.000000	-1.000000
-18.217822	12.277228	0.000000	-1.000000
-18.217822	12.673267	0.000000	-1.000000
-18.217822	13.069307	0.000000	-1.000000
-18.217822	13.465347	0.000000	-1.000000
-18.217822	13.861386	0.000000	-1.000000
-18.217822	14.257426	0.000000	-1.000000
-18.217822	14.653465	0.000000	-1.000000
