r (Angstroms)	rho/rho_ideal_gas
4.766634	0.120883	-0.879117
4.776564	0.086165	-0.913835
4.786495	0.111783	-0.888217
4.796425	0.077228	-0.922772
4.806356	0.137011	-0.862989
4.816286	0.111092	-0.888908
4.826216	0.085280	-0.914720
4.836147	0.110636	-0.889364
4.846077	0.093424	-0.906576
4.856008	0.118660	-0.881340
4.865938	0.093043	-0.906957
4.875869	0.092854	-0.907146
4.885799	0.075817	-0.924183
4.895730	0.042035	-0.957965
4.905660	0.075510	-0.924490
4.915591	0.100477	-0.899523
4.925521	0.066850	-0.933150
4.935452	0.091734	-0.908266
4.945382	0.066582	-0.933418
4.955313	0.083060	-0.916940
4.965243	0.041447	-0.958553
4.975174	0.124094	-0.875906
4.985104	0.082565	-0.917435
4.995035	0.082401	-0.917599
5.004965	0.041119	-0.958881
5.014896	0.090282	-0.909718
5.024826	0.090104	-0.909896
5.034757	0.065401	-0.934599
5.044687	0.097908	-0.902092
5.054618	0.114002	-0.885998
5.064548	0.130033	-0.869967
5.074479	0.137890	-0.862110
5.084409	0.080953	-0.919047
5.094340	0.121194	-0.878806
5.104270	0.104830	-0.895170
5.114201	0.136820	-0.863180
5.124131	0.168686	-0.831314
5.134062	0.160343	-0.839657
5.143992	0.128027	-0.871973
5.153923	0.207643	-0.792357
5.163853	0.087680	-0.912320
5.173784	0.167068	-0.832932
5.183714	0.158808	-0.841192
5.193644	0.126804	-0.873196
5.203575	0.110742	-0.889258
5.213505	0.197377	-0.802623
5.223436	0.189122	-0.810878
5.233366	0.196629	-0.803371
5.243297	0.133455	-0.866545
5.253227	0.180215	-0.819785
5.263158	0.156413	-0.843587
5.273088	0.140507	-0.859493
5.283019	0.194782	-0.805218
5.292949	0.209971	-0.790029
5.302880	0.209578	-0.790422
5.312810	0.193691	-0.806309
5.322741	0.270662	-0.729338
5.332671	0.223846	-0.776154
5.342602	0.254248	-0.745752
5.352532	0.246087	-0.753913
5.362463	0.245631	-0.754369
5.372393	0.268163	-0.731837
5.382324	0.275316	-0.724684
5.392254	0.343512	-0.656488
5.402185	0.243827	-0.756173
5.412115	0.296619	-0.703381
5.422046	0.303668	-0.696332
5.431976	0.287958	-0.712042
5.441907	0.332817	-0.667183
5.451837	0.241608	-0.758392
5.461768	0.211023	-0.788977
5.471698	0.263301	-0.736699
5.481629	0.375463	-0.624537
5.491559	0.344802	-0.655198
5.501490	0.284323	-0.715677
5.511420	0.283811	-0.716189
5.521351	0.313122	-0.686878
5.531281	0.297676	-0.702324
5.541212	0.319429	-0.680571
5.551142	0.326274	-0.673726
5.561072	0.273877	-0.726123
5.571003	0.266000	-0.734000
5.580933	0.324534	-0.675466
5.590864	0.279782	-0.720218
5.600794	0.308684	-0.691316
5.610725	0.308139	-0.691861
5.620655	0.307595	-0.692405
5.630586	0.248566	-0.751434
5.640516	0.401385	-0.598615
5.650447	0.269549	-0.730451
5.660377	0.327255	-0.672745
5.670308	0.312163	-0.687837
5.680238	0.384087	-0.615913
5.690169	0.282137	-0.717863
5.700099	0.245538	-0.754462
5.710030	0.288366	-0.711634
5.719960	0.237489	-0.762511
5.729891	0.287367	-0.712633
5.739821	0.322729	-0.677271
5.749752	0.243419	-0.756581
5.759682	0.300176	-0.699824
5.769613	0.392412	-0.607588
5.779543	0.341881	-0.658119
5.789474	0.312854	-0.687146
5.799404	0.312318	-0.687682
5.809335	0.262183	-0.737817
5.819265	0.318327	-0.681673
5.829196	0.289538	-0.710462
5.839126	0.274946	-0.725054
5.849057	0.246328	-0.753672
5.858987	0.407509	-0.592491
5.868918	0.308622	-0.691378
5.878848	0.273090	-0.726910
5.888779	0.426421	-0.573579
5.898709	0.314044	-0.685956
5.908640	0.278681	-0.721319
5.918570	0.292125	-0.707875
5.928500	0.319411	-0.680589
5.938431	0.298081	-0.701919
5.948361	0.283742	-0.716258
5.958292	0.248725	-0.751275
5.968222	0.310389	-0.689611
5.978153	0.378735	-0.621265
5.988083	0.433105	-0.566895
5.998014	0.281395	-0.718605
6.007944	0.322042	-0.677958
6.017875	0.376237	-0.623763
6.027805	0.259518	-0.740482
6.037736	0.395455	-0.604545
6.047666	0.449262	-0.550738
6.057597	0.421343	-0.578657
6.067527	0.447793	-0.552207
6.077458	0.487703	-0.512297
6.087388	0.412520	-0.587480
6.097319	0.580639	-0.419361
6.107249	0.599917	-0.400083
6.117180	0.531647	-0.468353
6.127110	0.685319	-0.314681
6.137041	0.724458	-0.275542
6.146971	0.676409	-0.323591
6.156902	0.768928	-0.231072
6.166832	0.761015	-0.238985
6.176763	1.166348	0.166348
6.186693	1.018086	0.018086
6.196624	1.136039	0.136039
6.206554	1.333209	0.333209
6.216485	1.496638	0.496638
6.226415	1.408300	0.408300
6.236346	1.841740	0.841740
6.246276	2.003583	1.003583
6.256207	2.125430	1.125430
6.266137	2.338870	1.338870
6.276068	3.030476	2.030476
6.285998	3.405541	2.405541
6.295929	3.387096	2.387096
6.305859	4.067260	3.067260
6.315789	4.145607	3.145607
6.325720	4.900543	3.900543
6.335650	5.165777	4.165777
6.345581	5.605348	4.605348
6.355511	6.069458	5.069458
6.365442	6.706741	5.706741
6.375372	7.283924	6.283924
6.385303	8.368653	7.368653
6.395233	8.722597	7.722597
6.405164	9.718181	8.718181
6.415094	10.543832	9.543832
6.425025	10.976074	9.976074
6.434955	12.027553	11.027553
6.444886	13.222714	12.222714
6.454816	14.018767	13.018767
6.464747	14.761430	13.761430
6.474677	15.654419	14.654419
6.484608	16.195497	15.195497
6.494538	16.424312	15.424312
6.504469	17.772717	16.772717
6.514399	18.169063	17.169063
6.524330	19.472853	18.472853
6.534260	19.367676	18.367676
6.544191	20.370021	19.370021
6.554121	20.420839	19.420839
6.564052	20.897992	19.897992
6.573982	21.217145	20.217145
6.583913	21.904262	20.904262
6.593843	21.471709	20.471709
6.603774	22.162613	21.162613
6.613704	21.861692	20.861692
6.623635	21.586535	20.586535
6.633565	20.548834	19.548834
6.643496	20.555323	19.555323
6.653426	19.850205	18.850205
6.663357	19.987464	18.987464
6.673287	19.797340	18.797340
6.683217	18.794641	17.794641
6.693148	17.942539	16.942539
6.703078	17.271076	16.271076
6.713009	16.423745	15.423745
6.722939	15.529926	14.529926
6.732870	15.048430	14.048430
6.742800	14.519505	13.519505
6.752731	13.339778	12.339778
6.762661	13.046251	12.046251
6.772592	12.382770	11.382770
6.782522	11.514849	10.514849
6.792453	10.740381	9.740381
6.802383	10.113429	9.113429
6.812314	9.313041	8.313041
6.822244	8.828787	7.828787
6.832175	8.231447	7.231447
6.842105	7.322944	6.322944
6.852036	7.059982	6.059982
6.861966	6.467791	5.467791
6.871897	5.829382	4.829382
6.881827	5.282551	4.282551
6.891758	5.077806	4.077806
6.901688	4.503801	3.503801
6.911619	3.961229	2.961229
6.921549	3.842534	2.842534
6.931480	3.676662	2.676662
6.941410	3.226566	2.226566
6.951341	3.085738	2.085738
6.961271	2.827025	1.827025
6.971202	2.628107	1.628107
6.981132	2.471038	1.471038
6.991063	2.214299	1.214299
7.000993	2.169995	1.169995
7.010924	2.025986	1.025986
7.020854	1.841334	0.841334
7.030785	1.914861	0.914861
7.040715	1.573002	0.573002
7.050645	1.635021	0.635021
7.060576	1.428633	0.428633
7.070506	1.409159	0.409159
7.080437	1.250184	0.250184
7.090367	1.411021	0.411021
7.100298	1.235092	0.235092
7.110228	1.302854	0.302854
7.120159	1.254779	0.254779
7.130089	1.160643	0.160643
7.140020	1.257057	0.257057
7.149950	1.324413	0.324413
7.159881	1.391581	0.391581
7.169811	1.217384	0.217384
7.179742	1.370531	0.370531
7.189672	1.380092	0.380092
7.199603	1.275255	0.275255
7.209533	1.610434	0.610434
7.219464	1.733684	0.733684
7.229394	1.913547	0.913547
7.239325	2.070168	1.070168
7.249255	2.095731	1.095731
7.259186	2.246003	1.246003
7.269116	2.333560	1.333560
7.279047	2.409566	1.409566
7.288977	2.507960	1.507960
7.298908	3.000947	2.000947
7.308838	3.289800	2.289800
7.318769	3.729760	2.729760
7.328699	3.764036	2.764036
7.338630	4.538787	3.538787
7.348560	4.818400	3.818400
7.358491	5.444163	4.444163
7.368421	5.878259	4.878259
7.378352	6.528814	5.528814
7.388282	7.255640	6.255640
7.398213	7.540863	6.540863
7.408143	7.847554	6.847554
7.418073	8.813912	7.813912
7.428004	9.467286	8.467286
7.437934	10.080167	9.080167
7.447865	10.005926	9.005926
7.457795	11.411452	10.411452
7.467726	11.782229	10.782229
7.477656	12.609029	11.609029
7.487587	13.103708	12.103708
7.497517	14.063860	13.063860
7.507448	14.862429	13.862429
7.517378	15.352174	14.352174
7.527309	15.523378	14.523378
7.537239	15.590341	14.590341
7.547170	16.328148	15.328148
7.557100	17.200224	16.200224
7.567031	17.553105	16.553105
7.576961	17.285584	16.285584
7.586892	17.745968	16.745968
7.596822	17.094087	16.094087
7.606753	17.856633	16.856633
7.616683	18.076623	17.076623
7.626614	17.227107	16.227107
7.636544	18.035032	17.035032
7.646475	17.699316	16.699316
7.656405	17.100965	16.100965
7.666336	16.697508	15.697508
7.676266	16.236093	15.236093
7.686197	16.290125	15.290125
7.696127	15.268683	14.268683
7.706058	14.891037	13.891037
7.715988	14.503689	13.503689
7.725919	14.021409	13.021409
7.735849	13.439239	12.439239
7.745780	12.996768	11.996768
7.755710	12.465179	11.465179
7.765641	11.245681	10.245681
7.775571	11.199556	10.199556
7.785501	10.455460	9.455460
7.795432	9.417477	8.417477
7.805362	9.030971	8.030971
7.815293	8.745546	7.745546
7.825223	8.334564	7.334564
7.835154	7.551514	6.551514
7.845084	7.211312	6.211312
7.855015	6.861486	5.861486
7.864945	6.638186	5.638186
7.874876	6.086049	5.086049
7.884806	5.545747	4.545747
7.894737	5.262358	4.262358
7.904667	4.990099	3.990099
7.914598	4.427191	3.427191
